world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year,country-iso
2,University of Oxford,United Kingdom,86.5,94.4,98.9,98.8,73.1,94.2,"19,919",11.6,34%,46 : 54,2016,GBR
4,University of Cambridge,United Kingdom,88.2,91.5,96.7,97.0,55.0,92.8,"18,812",11.8,34%,46 : 54,2016,GBR
8,Imperial College London,United Kingdom,83.3,96.0,88.5,96.7,53.7,89.1,"15,060",11.7,51%,37 : 63,2016,GBR
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77.0,97.9,95.0,91.1,80.0,88.3,"18,178",14.7,37%,31 : 69,2016,CHE
14,University College London,United Kingdom,78.1,94.4,91.0,94.2,40.5,87.1,"26,607",10.7,46%,56 : 44,2016,GBR
23,London School of Economics and Political Science,United Kingdom,69.8,93.6,80.6,94.3,32.2,81.3,,,,,2016,GBR
24,University of Edinburgh,United Kingdom,68.6,89.8,77.2,96.3,36.1,80.3,"25,774",14.1,36%,58 : 42,2016,GBR
27,King’s College London,United Kingdom,64.5,93.8,75.8,93.8,40.1,78.2,"21,394",11.4,37%,61 : 39,2016,GBR
28,Karolinska Institute,Sweden,60.6,73.1,81.1,92.2,75.8,77.5,"7,774",11.5,22%,70 : 30,2016,SWE
29,LMU Munich,Germany,70.5,62.8,77.4,85.7,100.0,77.3,"35,691",15.5,13%,62 : 38,2016,DEU
31,École Polytechnique Fédérale de Lausanne,Switzerland,61.3,98.6,67.5,94.6,65.4,76.1,"9,666",10.5,54%,27 : 73,2016,CHE
35,KU Leuven,Belgium,59.9,68.6,76.9,87.3,100.0,74.8,"42,503",41.9,18%,54 : 46,2016,BEL
37,Heidelberg University,Germany,68.8,62.8,69.6,88.2,68.2,74.4,"28,881",24.5,17%,55 : 45,2016,DEU
47,Wageningen University and Research Center,Netherlands,52.6,70.3,66.9,87.8,100.0,70.0,"9,248",17.0,21%,56 : 44,2016,NLD
49,Humboldt University of Berlin,Germany,63.7,62.6,77.0,73.6,36.1,69.9,"29,987",52.5,16%,,2016,DEU
53,Technical University of Munich,Germany,61.0,63.8,66.0,80.1,99.2,69.4,"35,565",31.5,20%,33 : 67,2016,DEU
54,École Normale Supérieure,France,70.6,85.5,47.7,87.1,37.1,69.0,"2,400",7.9,20%,46 : 54,2016,FRA
56,University of Manchester,United Kingdom,58.4,87.0,66.0,77.3,42.0,68.1,"34,938",15.3,34%,52 : 48,2016,GBR
58,University of Amsterdam,Netherlands,52.2,66.5,64.7,87.4,62.8,67.8,"24,570",14.4,11%,53 : 47,2016,NLD
62,Utrecht University,Netherlands,48.1,55.8,64.3,88.1,89.1,66.6,"30,779",15.4,7%,59 : 41,2016,NLD
65,Delft University of Technology,Netherlands,55.0,84.0,73.8,61.5,100.0,65.9,"15,920",19.4,25%,26 : 74,2016,NLD
67,Leiden University,Netherlands,50.5,64.3,63.1,85.2,49.8,65.7,"21,222",17.1,10%,59 : 41,2016,NLD
69,University of Bristol,United Kingdom,47.6,82.4,51.6,91.2,40.0,64.3,"17,906",14.0,25%,53 : 47,2016,GBR
70,Durham University,United Kingdom,47.9,86.4,51.9,87.7,34.4,63.6,"15,489",15.7,24%,54 : 46,2016,GBR
71,Erasmus University Rotterdam,Netherlands,37.2,76.1,55.2,95.6,54.6,63.5,"20,580",18.9,18%,48 : 52,2016,NLD
72,Free University of Berlin,Germany,57.9,69.2,72.2,60.2,35.1,63.2,"33,062",39.3,20%,58 : 42,2016,DEU
74,University of Groningen,Netherlands,43.3,63.9,56.9,84.0,92.4,62.4,"24,556",25.6,12%,52 : 48,2016,NLD
76,University of Glasgow,United Kingdom,41.6,85.8,48.3,92.3,31.6,61.9,"22,616",16.0,29%,57 : 43,2016,GBR
76,University of Helsinki,Finland,48.4,51.8,60.4,82.1,31.6,61.9,"23,505",15.1,6%,66 : 34,2016,FIN
78,University of Tübingen,Germany,47.0,58.2,59.8,79.3,59.2,61.7,"28,327",38.9,12%,58 : 42,2016,DEU
80,University of Warwick,United Kingdom,47.4,90.3,53.1,78.2,37.7,61.3,"18,529",16.6,37%,48 : 52,2016,GBR
81,Uppsala University,Sweden,44.1,59.6,61.0,80.9,39.5,61.2,"25,266",18.2,12%,57 : 43,2016,SWE
82,University of Copenhagen,Denmark,49.8,83.3,42.7,86.2,45.0,61.0,"27,545",4.1,19%,67 : 33,2016,DNK
84,University of Freiburg,Germany,47.4,60.3,51.1,80.5,100.0,60.7,"26,467",31.2,16%,52 : 48,2016,DEU
86,University of St Andrews,United Kingdom,49.7,92.3,47.3,78.8,30.6,60.4,"8,338",12.7,47%,56 : 44,2016,GBR
88,Maastricht University,Netherlands,37.5,95.5,47.7,82.7,95.4,59.9,"15,626",18.9,48%,56 : 44,2016,NLD
90,Lund University,Sweden,39.7,74.1,53.6,81.3,70.4,59.7,"28,251",11.5,15%,,2016,SWE
93,University of Exeter,United Kingdom,39.4,87.3,40.0,94.3,31.9,59.5,"17,755",18.8,28%,54 : 46,2016,GBR
94,University of Bonn,Germany,45.1,63.6,47.5,85.3,-,58.8,"32,474",70.4,13%,55 : 45,2016,DEU
97,University of Sheffield,United Kingdom,42.4,81.9,48.8,80.1,43.4,58.6,"23,311",15.5,31%,50 : 50,2016,GBR
98,Queen Mary University of London,United Kingdom,34.1,93.5,41.3,93.3,36.8,58.5,"14,260",14.0,40%,52 : 48,2016,GBR
99,University of Göttingen,Germany,49.3,56.4,54.5,72.7,31.8,58.0,"25,581",25.6,12%,51 : 49,2016,DEU
101,University of Basel,Switzerland,39.5,94.7,33.1,88.3,99.9,57.9,"12,551",17.3,24%,54 : 46,2016,CHE
101,École Polytechnique,France,53.5,92.8,44.6,64.7,82.3,57.9,"2,429",4.8,30%,18 : 82,2016,FRA
104,University of Zurich,Switzerland,49.5,90.4,31.5,85.4,44.0,57.8,"26,583",6.5,19%,57 : 43,2016,CHE
106,Aarhus University,Denmark,36.9,76.8,50.7,79.8,68.3,57.7,"23,895",13.6,14%,54 : 46,2016,DNK
106,University of Mannheim,Germany,34.5,64.6,47.7,86.9,85.3,57.7,"11,761",85.8,15%,55 : 45,2016,DEU
110,RWTH Aachen University,Germany,49.4,54.1,56.3,63.2,98.1,57.2,"37,917",27.6,16%,31 : 69,2016,DEU
110,University of Southampton,United Kingdom,39.8,88.4,43.6,82.0,37.5,57.2,"20,925",13.5,29%,53 : 47,2016,GBR
112,Scuola Normale Superiore di Pisa,Italy,54.2,46.3,53.1,67.2,52.0,57.1,462,16.5,5%,28 : 72,2016,ITA
113,Pierre and Marie Curie University,France,52.8,74.1,32.7,82.9,37.4,57.0,"27,862",8.7,18%,48 : 52,2016,FRA
118,Ghent University,Belgium,42.1,54.2,54.5,71.2,88.3,56.6,"32,166",34.1,9%,57 : 43,2016,BEL
119,University of Birmingham,United Kingdom,39.4,82.0,41.8,82.7,34.7,56.2,"25,295",16.4,23%,54 : 46,2016,GBR
120,University of Bern,Switzerland,40.0,83.7,42.5,76.6,82.9,56.1,"14,708",22.5,14%,54 : 46,2016,CHE
123,University of Erlangen-Nuremberg,Germany,51.7,47.0,39.7,75.2,99.4,56.0,"36,146",53.9,9%,49 : 51,2016,DEU
125,University of Münster,Germany,40.3,46.3,44.1,85.6,58.2,55.9,"39,838",46.1,8%,53 : 47,2016,DEU
125,Radboud University Nijmegen,Netherlands,34.3,60.9,48.5,84.9,39.2,55.9,"17,713",13.0,10%,58 : 42,2016,NLD
